time_yr,rfr_mean,rfr_p5,rfr_p50,rfr_p95,eq_mean,eq_p5,eq_p95,cs_mean,cs_p5,cs_p95,fx_mean,prop_mean,prop_p5,cpi_mean,infl_mean
0.0,0.03258532,0.03258532,0.03258532,0.03258532,1.0,1.0,1.0,0.0085,0.0085,0.0085,1.0,1.0,1.0,1.0,0.02
0.083333,0.031890736350000004,0.027221792,0.031890735,0.0365596785,1.0072654364,0.918740318,1.100777626,0.00849375,0.0074389345,0.0095485655,0.9989659681499999,1.00150481245,0.963981058,1.00166806,0.02038511665
0.166667,0.03210272595,0.025888327500000002,0.032102725,0.038317122499999995,1.01445010895,0.8953886955,1.1421497309999997,0.008488927149999999,0.0067814395,0.010153343999999998,0.9978752763500001,1.00089482505,0.944214912,1.00337116175,0.020607632549999998
0.25,0.0323066002,0.0243896185,0.032306600000000005,0.0402235815,1.02252081515,0.8532431435,1.2120429929999998,0.00848460825,0.006465070000000001,0.01066831,0.9968034877499999,0.99824248095,0.9394031565000001,1.0050960135,0.0204176647
0.333333,0.0325023511,0.02284806,0.03250235,0.04215664,1.02788876385,0.8699965515,1.202114334,0.008477523150000001,0.006334441,0.010833069999999998,0.995749914,1.00001621495,0.9270985829999999,1.0068081986,0.02067125125
0.416667,0.0326899712,0.0211330555,0.03268997,0.044246894,1.03578390445,0.846234473,1.249849905,0.00847597305,0.006107654,0.011053938999999999,0.99471384825,1.00414419665,0.9108963170000001,1.00854503505,0.0203397419
0.5,0.032869451949999996,0.0213699215,0.032869455,0.044368978999999996,1.04297535105,0.848821965,1.2601772155,0.0084697641,0.006038428,0.0110877025,0.9936947517500001,1.0079637078,0.885578409,1.0102574499,0.02039038445
0.583333,0.03304078705,0.021480901,0.03304079,0.04460066899999999,1.0523041217,0.8136139975,1.3296658704999997,0.00846267165,0.00575059,0.011432178499999996,0.992691928,1.0119431827,0.8782028005,1.0119776816,0.0203263282
0.666667,0.033203968,0.02090198,0.03320397,0.0455059595,1.058825823,0.8017479894999999,1.3647371544999998,0.008456155600000001,0.005621001,0.011583963499999999,0.9917044429499999,1.0159931068999999,0.8748764685,1.01369626875,0.020581529600000002
0.75,0.0333589877,0.0199813155,0.033358984999999994,0.046736663999999976,1.06689742775,0.8039928635,1.3764881724999998,0.00844128685,0.0056847145,0.011455514,0.99073188395,1.02026251825,0.8812135004999999,1.0154402204500002,0.0204223059
0.833333,0.03350583955,0.019726253000000003,0.033505839999999995,0.047285427000000005,1.0752749894,0.7886209605000001,1.4194107464999997,0.00844004145,0.005237116,0.012116011,0.989773648,1.02666151055,0.8669769465,1.0171744872000001,0.02115535205
0.916667,0.033644514550000004,0.0189689155,0.033644515,0.04832011449999999,1.0823690460500002,0.7827314535,1.4465000534999999,0.00842575235,0.005509292,0.011789222,0.98882905185,1.0306101093,0.8616200585,1.0189751468,0.02156035705
1.0,0.03377500695,0.018115823,0.03377501,0.049434187,1.09066636,0.777722989,1.472563999,0.0084151687,0.0052228100000000005,0.0120267785,0.9878971536500001,1.03443571845,0.8410902514999999,1.02081458305,0.02214674755
1.083333,0.0338973087,0.015643300500000002,0.03389731,0.0521513195,1.1001212668,0.756987156,1.5303388539999998,0.008407954050000001,0.0051666015000000004,0.012124231,0.98697741245,1.03700162205,0.8329199655,1.02270866345,0.0220857386
1.166667,0.03401141365,0.0151044125,0.03401141,0.05291841749999999,1.1108299884500001,0.7378581315,1.5882265354999991,0.00840832465,0.0049071255,0.012455869,0.9860692543,1.0442808211499999,0.8336619575,1.02460259825,0.022391019
1.25,0.03411731345,0.015848779,0.03411731,0.05238585099999997,1.11927776955,0.747354846,1.5861223974999996,0.008404985700000001,0.0048343525,0.0126008585,0.9851726842499999,1.04598580775,0.840508774,1.0265273399500001,0.022808620300000002
1.333333,0.0342150028,0.0165710965,0.034214999999999995,0.0518589135,1.12987529845,0.7166387495,1.6732570239999995,0.00838796145,0.0048825000000000006,0.012405269499999996,0.98428584485,1.05073701875,0.8289350655,1.0284931437,0.02306405605
1.416667,0.03430447355,0.016843179000000003,0.034304475,0.05176577099999999,1.13823927035,0.732245552,1.6566090719999995,0.0083853212,0.004863468,0.012354168499999993,0.9834080107500001,1.0567137235,0.8291618705,1.0304865522,0.022965378699999997
1.5,0.0343857197,0.014075377,0.034385719999999995,0.054696062499999996,1.1440856469,0.7249466945,1.6927386939999995,0.0083849081,0.0047811830000000005,0.0124431205,0.98253956145,1.06356803475,0.8209235455,1.0324768896,0.02276216935
1.583333,0.0344587335,0.014054337500000002,0.034458735000000004,0.05486312299999999,1.15253149435,0.7461604940000001,1.6637119569999999,0.0083703232,0.004741937999999999,0.012537447999999998,0.9816799177500001,1.0673429825,0.8093273360000001,1.03445526255,0.02305416255
1.666667,0.0345235101,0.014839648,0.03452350999999999,0.05420737199999998,1.1600773328,0.7258009605,1.7303002534999998,0.0083808388,0.0044441770000000005,0.013094816499999998,0.98082841905,1.0712716836,0.7953195835,1.0364641991,0.02300768775
1.75,0.03458004145,0.0128647285,0.03458004,0.056295360999999995,1.1750026663,0.708854668,1.7923064794999999,0.00838452085,0.0044523110000000005,0.013029561499999993,0.9799838941500001,1.07633185545,0.7840868344999999,1.0384744537000001,0.02322546195
1.833333,0.03462832165,0.0148166615,0.034628320000000004,0.054439978499999986,1.1817998818,0.7104853065000001,1.8090722069999994,0.00836030845,0.0044160035000000005,0.013134921999999995,0.9791456309500001,1.081729591,0.7901482635,1.04050964,0.02364964445
1.916667,0.03466834345,0.0135252685,0.034668345,0.05581141199999999,1.1924437363,0.710089339,1.8312122949999994,0.00836085525,0.004277205500000001,0.0132636075,0.9783131082,1.0849843102,0.798838014,1.04258754495,0.023364590600000002
2.0,0.0347001018,0.013377883,0.0347001,0.05602232699999999,1.19880202645,0.7094953915,1.8541299109999998,0.008345099350000001,0.004445657,0.012845636,0.9774852355,1.0871182869,0.802711594,1.0446470999,0.023157447549999998
2.083333,0.03473075685,0.014024193,0.03473076,0.05543731699999997,1.21018300485,0.686591942,1.9383649869999997,0.0083465645,0.0043680915,0.012985592,0.9766622778999999,1.0955783320999999,0.7854798439999999,1.04669508045,0.02313795855
2.166667,0.03476747015,0.013256801,0.034767469999999995,0.0562781395,1.2198060082,0.690685177,1.9494189724999995,0.0083489128,0.004223013,0.013446619999999996,0.97584238185,1.0995625057,0.8058461915,1.04874659805,0.02368297815
2.25,0.0348102365,0.0120990275,0.034810235,0.05752144299999999,1.22408030035,0.703622716,1.9359519294999994,0.0083452946,0.0041270085,0.013236321999999997,0.97502795065,1.10716470865,0.7760096415000001,1.0508516127999998,0.02425511155
2.333333,0.0348590483,0.0118500815,0.03485905,0.057868018499999986,1.2368127630499999,0.6848778775,2.012243901499999,0.0083196417,0.004428655,0.013041802499999998,0.9742188541,1.1118028697,0.7758872135,1.05301293885,0.024743089349999997
2.416667,0.03491390035,0.010886687,0.0349139,0.058941112999999976,1.24672066075,0.682962021,2.041522408499999,0.0083165597,0.004159925,0.013389571999999997,0.9734158909,1.1185087473,0.781718041,1.05522447735,0.024457288400000003
2.5,0.0349747871,0.012713318000000001,0.034974784999999994,0.0572362615,1.2513947432499999,0.7046571150000001,2.001861737499999,0.00831952325,0.004229752,0.013180940999999998,0.9726196153,1.12097283715,0.7739473885000001,1.0574178496,0.02441660565
2.583333,0.03504170125,0.0118410935,0.035041699999999995,0.05824230699999999,1.260259612,0.6906169405000001,2.066574580999999,0.0083202281,0.003996906,0.013611242499999999,0.9718290012999999,1.1226350377,0.762736129,1.0596123496999998,0.024960021600000003
2.666667,0.03511463855,0.0111524665,0.03511464,0.05907680349999998,1.26830663055,0.676711922,2.133694253,0.0083294836,0.0035587105,0.0143864485,0.9710464845,1.1284616413000002,0.7471445095,1.06186221175,0.02528965995
2.75,0.03519359225,0.010112621000000002,0.035193595,0.060274568499999986,1.2739356503,0.6888260549999999,2.120806353,0.008314188049999999,0.00358974,0.014039914,0.97027172065,1.131087325,0.7563701895,1.0641478052,0.02562209615
2.833333,0.03527855635,0.009907592,0.035278555,0.06064951799999999,1.2822764514,0.7070294065,2.0906413234999985,0.00830697295,0.003839342,0.013744159999999995,0.9695053711999999,1.1340541690000001,0.7526311665000001,1.06646845055,0.0257354915
2.916667,0.0353695257,0.009850362000000001,0.035369525,0.060888688,1.2903976219,0.708272529,2.1114457174999997,0.00828886005,0.003735673,0.014058916499999994,0.96874743885,1.14114056425,0.7654521075,1.06880654885,0.0258038235
3.0,0.035466495,0.010389729500000002,0.035466495,0.06054326049999999,1.2952883492999998,0.7075034165,2.138670747,0.0082843554,0.0036012755,0.014151569499999994,0.9680008621499999,1.1446913584,0.7704114440000001,1.0711580423,0.0260145496
3.083333,0.03556578755,0.0099137835,0.035565785,0.061217796,1.3067323726,0.6879175380000001,2.2255578159999994,0.008287240750000001,0.0034707855000000003,0.014273932499999996,0.9672643693499999,1.15043621415,0.785027673,1.0735360227,0.0263667003
3.166667,0.0356637281,0.009793728,0.03566373,0.061533731999999994,1.3138095519500002,0.6971752695000001,2.2219731284999997,0.0082812874,0.003281,0.014680789999999997,0.9665382013,1.15602056565,0.7775465125,1.07595323085,0.026594540150000002
3.25,0.035760311100000004,0.009085026000000001,0.035760310000000003,0.062435594,1.32577909065,0.6951944595,2.2546991095,0.0082859282,0.0033507615,0.0149927855,0.9658211228,1.1614271471,0.8045396290000001,1.07839790415,0.0270610173
3.333333,0.03585553065,0.008753595,0.035855534999999994,0.062957465,1.33796727415,0.6783718085,2.3381302134999986,0.00829243815,0.003168087,0.0151177535,0.9651138419999999,1.1625619538,0.7770778985000001,1.08089341125,0.02733145225
3.416667,0.035949382,0.008314166,0.03594938,0.06358460349999999,1.3492288649,0.6895158745,2.3276177684999992,0.008295505,0.0033821475,0.0146105405,0.96441648255,1.1657217749,0.763567692,1.0834244456,0.0276257317
3.5,0.0360418592,0.009308433500000001,0.036041859999999995,0.0627752865,1.35732897775,0.726305206,2.235985023999999,0.008271481899999999,0.003362159,0.014649246,0.96372982595,1.1738161188,0.7767085965,1.0859883234,0.02739004605
3.583333,0.0361329585,0.009772371500000003,0.036132954999999994,0.06249354849999996,1.36667342975,0.7184880929999999,2.2871997984999997,0.00826724865,0.0033100755,0.014605069999999993,0.9630524054999999,1.178904905,0.7769069685,1.0885392183,0.02721904805
3.666667,0.0362226727,0.009017004,0.03622267,0.0634283455,1.37682110125,0.7325974885000001,2.270058246999999,0.0082601715,0.0034664965,0.014415486499999998,0.9623841633000001,1.1856188374999999,0.7629875795,1.0910820201,0.027290378299999998
3.75,0.0363109985,0.008805919,0.036310999999999996,0.06381608049999998,1.3870800213499999,0.7286903725,2.3094201884999985,0.00826390215,0.0034738535,0.014760709499999997,0.9617258041,1.19104361495,0.7699894724999999,1.0936404342500001,0.0267541153
3.833333,0.0363979298,0.00759296,0.036397929999999995,0.0652029,1.4014752580499998,0.723979917,2.3521680799999993,0.00825958785,0.0034550565,0.01454608,0.9610752549,1.19749263185,0.765315713,1.09615777875,0.026557932700000002
3.916667,0.0364834617,0.006765159,0.036483459999999995,0.06620177049999999,1.41195490525,0.697112718,2.4720495814999994,0.0082690553,0.0030979420000000002,0.014888134999999999,0.9604375016500001,1.2044095374,0.7691883695,1.0986671663,0.0261906753
4.0,0.0365675898,0.0078968335,0.03656759,0.06523834649999999,1.41973876905,0.735527112,2.3710120944999997,0.0082634497,0.0031263105000000004,0.014665125499999999,0.95980903165,1.2110667130000001,0.7733596484999999,1.10114917775,0.026318193349999998
4.083333,0.0366515722,0.006807562000000001,0.03665157,0.06649557849999999,1.4250680335,0.7422038325,2.3778695335,0.00823474695,0.0034046455,0.014510503999999999,0.9591920215,1.2148912098,0.7593806915,1.10365018975,0.0263267983
4.166667,0.03673666915,0.0053157725,0.03673667,0.068157558,1.4341964622,0.740174702,2.4130365305,0.00822097235,0.0034679355000000003,0.014419697499999995,0.9585844503500001,1.2194428395,0.754525335,1.1061603069500001,0.026491114950000002
4.25,0.03682287495,0.005275627000000001,0.036822875000000005,0.06837012299999999,1.44452975175,0.73508876,2.4589760094999993,0.0081924105,0.003742008,0.014043026,0.9579842054,1.22570218945,0.790796363,1.1086954547499999,0.0267482933
4.333333,0.0369101852,0.0038769460000000005,0.036910185,0.06994342399999999,1.4584244985,0.723368132,2.5288871025,0.0082012061,0.003750646,0.013629420999999996,0.95739788455,1.230724183,0.784678311,1.11126141805,0.02694351535
